Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
PDE5A	ENSG00000138735.15	10.555	22.355	-1.015	1.94e-28
PRDM5	ENSG00000138738.10	1.510	4.325	-1.085	4.25e-69
NAAA	ENSG00000138744.14	98.393	35.760	1.435	1.32e-44
G3BP2	ENSG00000138757.14	79.726	34.859	1.171	5.17e-23
PAPSS1	ENSG00000138801.8	49.165	21.159	1.179	8.68e-36
PPP3CA	ENSG00000138814.16	114.055	37.175	1.592	1.86e-53
MAPK8IP3	ENSG00000138834.12	12.995	82.813	-2.582	5.17e-57
KIAA1644	ENSG00000138944.7	0.880	2.815	-1.021	5.06e-48
VAMP1	ENSG00000139190.16	3.680	16.870	-1.933	2.33e-94
PIANP	ENSG00000139200.13	1.000	4.075	-1.343	3.47e-64
FAM222A	ENSG00000139438.5	3.760	1.305	1.046	1.58e-32
N4BP2L1	ENSG00000139597.16	7.310	18.258	-1.213	9.90e-52
MAP3K12	ENSG00000139625.12	3.060	19.180	-2.313	2.23e-107
LMBR1L	ENSG00000139636.15	18.895	63.350	-1.694	7.18e-67
LPAR6	ENSG00000139679.15	22.515	48.291	-1.068	3.12e-37
NOVA1	ENSG00000139910.19	1.370	4.515	-1.218	1.98e-53
FRMD6	ENSG00000139926.15	8.140	21.280	-1.285	2.02e-44
RTN1	ENSG00000139970.16	22.440	8.850	1.251	6.14e-35
FBLN5	ENSG00000140092.14	21.500	45.523	-1.048	3.35e-26
SLC27A2	ENSG00000140284.10	9.490	2.885	1.433	1.07e-60
FGF7	ENSG00000140285.9	3.195	10.890	-1.503	1.37e-45
HDC	ENSG00000140287.10	0.500	2.949	-1.397	6.85e-62
NEIL1	ENSG00000140398.13	19.495	53.519	-1.411	1.33e-22
MAN2C1	ENSG00000140400.14	48.839	232.687	-2.229	4.95e-60
TPM1	ENSG00000140416.19	335.111	811.191	-1.273	7.64e-42
PCSK6	ENSG00000140479.16	9.825	2.230	1.745	4.94e-60
LMAN1L	ENSG00000140506.16	20.377	53.733	-1.356	4.54e-8
NTRK3	ENSG00000140538.16	0.800	6.685	-2.094	7.18e-103
MFGE8	ENSG00000140545.14	57.420	133.051	-1.198	5.07e-40
TGFB1I1	ENSG00000140682.18	26.230	82.104	-1.610	1.45e-56
NLRC5	ENSG00000140853.15	4.940	12.975	-1.234	2.36e-29
KIFC3	ENSG00000140859.15	6.155	24.440	-1.830	1.01e-81
RHOT2	ENSG00000140983.13	64.263	152.471	-1.234	2.33e-38
MYOCD	ENSG00000141052.17	1.995	6.345	-1.294	9.56e-41
KSR1	ENSG00000141068.13	3.155	18.895	-2.260	7.31e-96
SGSM2	ENSG00000141258.12	41.755	101.177	-1.257	4.30e-40
SLC39A6	ENSG00000141424.12	145.885	55.943	1.367	1.55e-42
GALNT1	ENSG00000141429.13	31.215	14.760	1.031	6.22e-34
SLC14A1	ENSG00000141469.16	11.335	34.353	-1.519	2.49e-17
MINK1	ENSG00000141503.15	24.256	64.574	-1.377	5.47e-64
SLC16A3	ENSG00000141526.14	6.355	15.850	-1.196	3.54e-45
RNF157	ENSG00000141576.14	5.165	1.855	1.111	9.91e-27
RNF165	ENSG00000141622.13	0.685	2.445	-1.032	1.46e-60
PNMT	ENSG00000141744.3	0.330	4.720	-2.105	1.89e-89
STAC2	ENSG00000141750.6	0.640	2.580	-1.126	5.03e-37
IGFBP4	ENSG00000141753.6	116.650	292.845	-1.321	4.88e-55
TMEM91	ENSG00000142046.14	6.155	16.335	-1.277	4.57e-50
SIK1	ENSG00000142178.7	2.330	6.770	-1.222	7.57e-14
SLC47A1	ENSG00000142494.13	1.045	5.250	-1.612	1.96e-102
KLK3	ENSG00000142515.14	16949.439	7851.757	1.110	5.33e-32
RCN3	ENSG00000142552.7	9.365	20.930	-1.081	2.67e-28
SLC2A5	ENSG00000142583.17	1.470	8.695	-1.973	2.10e-38
EPHA2	ENSG00000142627.12	2.640	8.555	-1.392	1.91e-47
EVA1B	ENSG00000142694.6	13.635	32.478	-1.194	1.58e-36
MAP3K6	ENSG00000142733.14	18.270	61.864	-1.706	1.50e-58
HSPG2	ENSG00000142798.16	37.575	105.924	-1.471	8.96e-50
TINAGL1	ENSG00000142910.15	16.725	79.619	-2.185	9.46e-96
PROK1	ENSG00000143125.5	1.615	7.589	-1.716	2.83e-37
ITGA10	ENSG00000143127.12	0.415	2.740	-1.402	1.42e-75
GPR161	ENSG00000143147.14	2.790	7.245	-1.121	1.79e-49
MPC2	ENSG00000143158.10	275.860	93.804	1.546	2.28e-76
TBX19	ENSG00000143178.12	0.870	3.425	-1.243	9.19e-89
TMCO1	ENSG00000143183.16	105.876	48.055	1.123	1.60e-35
PIGM	ENSG00000143315.6	9.810	4.265	1.038	7.14e-51
SEMA6C	ENSG00000143434.15	3.455	9.805	-1.278	2.08e-43
POGZ	ENSG00000143442.21	18.635	43.910	-1.194	1.15e-41
S100A8	ENSG00000143546.9	3.290	15.515	-1.945	1.11e-45
INTS3	ENSG00000143624.13	24.340	52.463	-1.077	2.07e-48
HCN3	ENSG00000143630.9	1.175	3.440	-1.030	2.80e-56
MBOAT2	ENSG00000143797.11	43.465	14.984	1.476	1.38e-45
SOX13	ENSG00000143842.14	17.150	39.914	-1.173	8.17e-61
ETNK2	ENSG00000143845.14	4.915	13.925	-1.335	6.86e-78
OSR1	ENSG00000143867.6	2.730	9.695	-1.520	3.51e-53
PDIA6	ENSG00000143870.12	183.915	87.507	1.063	2.98e-40
RHOB	ENSG00000143878.9	151.009	334.635	-1.143	3.69e-32
MEIS1	ENSG00000143995.19	7.075	39.145	-2.314	8.54e-104
RABL2A	ENSG00000144134.18	9.985	23.386	-1.151	4.65e-46
GPR17	ENSG00000144230.16	0.190	2.719	-1.644	2.01e-95
TMEFF2	ENSG00000144339.11	102.309	12.055	2.984	3.77e-25
TRPM8	ENSG00000144481.16	123.905	24.605	2.286	1.24e-42
STK11IP	ENSG00000144589.20	9.505	25.195	-1.318	1.11e-49
RBMS3	ENSG00000144642.20	1.640	6.495	-1.505	3.59e-99
STAC	ENSG00000144681.10	1.230	5.370	-1.514	8.66e-45
LRIG1	ENSG00000144749.13	88.717	35.463	1.299	4.83e-50
NFKBIZ	ENSG00000144802.11	5.945	17.195	-1.389	3.51e-17
PHLDB2	ENSG00000144824.19	7.835	18.595	-1.149	1.31e-38
PLA1A	ENSG00000144837.8	17.510	5.800	1.445	5.95e-20
SRPRB	ENSG00000144867.11	53.500	23.075	1.179	2.88e-60
TRPC1	ENSG00000144935.14	1.330	5.415	-1.461	1.63e-89
UCN2	ENSG00000145040.3	0.200	1.750	-1.196	1.77e-87
ILDR1	ENSG00000145103.12	11.100	3.380	1.466	1.91e-39
MUC4	ENSG00000145113.21	1.040	8.954	-2.287	1.22e-39
SLIT2	ENSG00000145147.19	3.415	8.960	-1.174	3.75e-36
OCIAD2	ENSG00000145247.11	70.930	32.300	1.111	5.48e-63
RNF175	ENSG00000145428.14	0.630	2.520	-1.111	4.72e-87
NKD2	ENSG00000145506.13	1.845	7.020	-1.495	1.45e-68
PLK2	ENSG00000145632.14	7.820	23.516	-1.475	2.79e-55
PIK3R1	ENSG00000145675.14	10.690	24.210	-1.109	2.05e-34
LHFPL2	ENSG00000145685.13	3.960	9.855	-1.130	8.28e-52
IQGAP2	ENSG00000145703.15	44.470	13.035	1.696	2.56e-53
TSLP	ENSG00000145777.14	0.850	2.869	-1.065	3.32e-46
KCNMB1	ENSG00000145936.8	6.840	18.094	-1.284	1.23e-39
KLHL3	ENSG00000146021.14	0.620	2.640	-1.168	2.42e-87
FAM193B	ENSG00000146067.15	29.561	114.320	-1.916	1.34e-51
PLA2G7	ENSG00000146070.16	33.460	5.210	2.472	3.12e-57
PPP1R18	ENSG00000146112.11	13.260	27.684	-1.008	2.68e-42
FGD2	ENSG00000146192.14	1.190	4.045	-1.204	1.60e-49
RNF217	ENSG00000146373.16	1.920	5.160	-1.077	4.24e-63
RSPO3	ENSG00000146374.13	1.810	4.730	-1.028	2.16e-25
SLC2A12	ENSG00000146411.5	24.685	8.985	1.363	1.72e-26
SDK1	ENSG00000146555.18	10.690	2.715	1.654	2.41e-40
SLC16A2	ENSG00000147100.9	3.890	8.960	-1.026	1.42e-44
OGT	ENSG00000147162.13	35.986	87.644	-1.261	2.60e-22
ITGB1BP2	ENSG00000147166.10	1.585	4.440	-1.073	1.84e-49
ZNF711	ENSG00000147180.16	0.670	2.555	-1.090	2.60e-64
FBXO25	ENSG00000147364.16	49.225	23.164	1.056	1.59e-49
ZNF185	ENSG00000147394.18	8.860	19.819	-1.078	5.68e-29
GNRH1	ENSG00000147437.9	0.600	5.449	-2.011	3.63e-75
MAL2	ENSG00000147676.13	58.175	16.753	1.737	4.05e-72
STOM	ENSG00000148175.12	43.676	89.359	-1.016	1.83e-41
GBGT1	ENSG00000148288.11	2.630	6.345	-1.017	1.66e-52
FAM73B	ENSG00000148343.18	11.940	31.545	-1.331	2.32e-74
HMCN2	ENSG00000148357.16	1.450	4.869	-1.260	3.48e-42
INPP5E	ENSG00000148384.11	4.440	10.360	-1.062	6.79e-56
NOTCH1	ENSG00000148400.9	4.920	14.654	-1.403	5.76e-61
ZEB1	ENSG00000148516.21	4.955	12.060	-1.133	7.00e-49
RGS10	ENSG00000148908.14	135.626	47.872	1.483	1.67e-90
SCGB1A1	ENSG00000149021.6	9.760	52.350	-2.310	3.13e-13
SYT8	ENSG00000149043.16	0.320	1.940	-1.155	2.04e-52
PAMR1	ENSG00000149090.11	7.170	15.639	-1.026	2.62e-25
SERPING1	ENSG00000149131.15	125.222	268.531	-1.094	1.76e-34
SLC43A1	ENSG00000149150.8	43.445	14.535	1.517	1.59e-47
NCAM1	ENSG00000149294.16	1.590	10.215	-2.114	9.21e-76
ST14	ENSG00000149418.10	98.209	33.890	1.508	3.40e-87
PLCH2	ENSG00000149527.17	5.305	23.558	-1.962	1.14e-50
FEZ1	ENSG00000149557.12	5.765	17.749	-1.471	3.20e-75
ESAM	ENSG00000149564.11	10.345	22.805	-1.069	1.60e-33
TAGLN	ENSG00000149591.16	1489.899	3482.843	-1.224	8.30e-31
JPH2	ENSG00000149596.6	5.565	18.270	-1.554	8.52e-46
KIAA1755	ENSG00000149633.11	2.110	8.004	-1.534	3.05e-66
TM7SF2	ENSG00000149809.14	128.524	44.180	1.519	4.75e-69
FAM124A	ENSG00000150510.15	1.305	4.240	-1.185	2.01e-59
PRSS53	ENSG00000151006.7	0.440	2.850	-1.419	1.11e-50
NDUFC2	ENSG00000151366.12	213.271	104.314	1.025	3.10e-62
ME3	ENSG00000151376.16	10.420	23.445	-1.098	3.36e-25
EPS8	ENSG00000151491.12	8.140	19.430	-1.160	2.81e-46
NCAPD3	ENSG00000151503.12	84.287	21.184	1.943	7.41e-14
INPP1	ENSG00000151689.12	6.315	18.590	-1.421	4.49e-70
TMEM45B	ENSG00000151715.7	16.829	2.695	2.271	3.06e-38
SERP2	ENSG00000151778.10	3.075	10.065	-1.441	5.25e-65
SCHIP1	ENSG00000151967.18	0.990	3.145	-1.059	3.78e-49
HSPB8	ENSG00000152137.6	34.490	108.394	-1.624	1.01e-39
TCF7L1	ENSG00000152284.4	4.885	17.290	-1.636	4.58e-95
SPOCK1	ENSG00000152377.12	108.157	26.213	2.004	1.98e-42
TRIM36	ENSG00000152503.9	28.689	8.962	1.576	3.95e-74
ZFP36L2	ENSG00000152518.6	51.963	107.876	-1.040	1.11e-31
PLEKHH2	ENSG00000152527.13	0.730	5.325	-1.870	2.81e-104
SPARCL1	ENSG00000152583.12	144.076	310.445	-1.102	3.29e-33
GJA1	ENSG00000152661.7	25.439	57.430	-1.144	6.73e-31
PRDM8	ENSG00000152784.15	4.025	23.110	-2.262	3.87e-51
UTRN	ENSG00000152818.18	38.964	17.795	1.088	9.13e-12
MARVELD2	ENSG00000152939.14	9.905	3.314	1.338	3.83e-40
TMEM87B	ENSG00000153214.9	27.050	12.975	1.005	9.42e-29
RBMS1	ENSG00000153250.17	10.065	25.240	-1.246	1.96e-62
SLC25A27	ENSG00000153291.15	14.495	66.886	-2.131	1.82e-27
FBXL2	ENSG00000153558.13	1.880	6.260	-1.334	5.19e-60
JAZF1	ENSG00000153814.11	6.505	16.124	-1.190	3.39e-49
PID1	ENSG00000153823.18	7.050	16.280	-1.102	6.70e-31
LGI4	ENSG00000153902.13	2.900	24.735	-2.722	2.73e-96
HS3ST3A1	ENSG00000153976.2	0.840	3.205	-1.192	3.62e-56
GDPD1	ENSG00000153982.10	5.015	1.505	1.264	7.21e-49
ROBO4	ENSG00000154133.14	3.385	9.505	-1.260	1.54e-48
ROBO3	ENSG00000154134.14	5.390	21.564	-1.820	1.84e-63
PRKCA	ENSG00000154229.11	3.390	8.685	-1.142	2.31e-47
UCHL1	ENSG00000154277.12	6.925	19.190	-1.349	1.50e-34
PGM5	ENSG00000154330.12	32.739	83.513	-1.325	7.03e-25
OBSCN	ENSG00000154358.19	3.140	12.940	-1.752	5.66e-58
SH3RF1	ENSG00000154447.14	26.085	9.595	1.354	1.36e-36
L3MBTL4	ENSG00000154655.14	0.500	2.035	-1.017	5.35e-91
PDE1C	ENSG00000154678.16	0.160	1.720	-1.229	4.03e-94
SLFN13	ENSG00000154760.13	0.850	2.765	-1.025	1.19e-54
FLCN	ENSG00000154803.12	14.205	33.362	-1.176	8.23e-51
PIEZO2	ENSG00000154864.11	1.160	3.585	-1.086	7.50e-55
PTPRN2	ENSG00000155093.17	41.849	8.790	2.130	1.13e-48
MARVELD1	ENSG00000155254.12	15.075	42.585	-1.439	3.11e-65
SLC25A28	ENSG00000155287.10	35.430	75.279	-1.066	9.06e-72
PDIA4	ENSG00000155660.10	151.046	67.179	1.157	1.78e-51
SLC26A2	ENSG00000155850.7	12.710	5.805	1.011	1.51e-15
RAB39B	ENSG00000155961.4	2.650	0.800	1.020	3.07e-28
MICU3	ENSG00000155970.11	1.485	4.700	-1.198	2.68e-78
WIF1	ENSG00000156076.9	0.800	3.360	-1.276	6.36e-19
KCNMA1	ENSG00000156113.20	13.460	32.279	-1.202	5.11e-37
RBPMS	ENSG00000157110.15	53.245	180.705	-1.744	3.10e-78
TIMP4	ENSG00000157150.4	1.035	4.050	-1.311	3.44e-34
NRG1	ENSG00000157168.18	0.490	2.170	-1.089	6.31e-56
STEAP2	ENSG00000157214.13	154.749	75.454	1.027	2.17e-33
MMP14	ENSG00000157227.12	24.190	57.225	-1.209	3.85e-46
RP11-66N24.4	ENSG00000157306.14	3.290	10.120	-1.374	1.88e-24
KIT	ENSG00000157404.15	1.270	3.885	-1.106	5.25e-47
TSC22D3	ENSG00000157514.16	145.597	338.919	-1.213	5.22e-37
ETS2	ENSG00000157557.11	23.031	59.732	-1.338	2.91e-41
TSPAN18	ENSG00000157570.11	4.770	13.565	-1.336	3.09e-49
WDR19	ENSG00000157796.17	10.365	27.808	-1.342	9.06e-64
PEX10	ENSG00000157911.9	48.731	17.235	1.447	8.95e-32
MRPL17	ENSG00000158042.8	77.147	31.638	1.260	9.55e-102
UBXN11	ENSG00000158062.20	12.100	27.200	-1.106	6.35e-32
HPD	ENSG00000158104.11	0.315	1.780	-1.080	1.27e-67
TMSB15A	ENSG00000158164.6	61.590	8.785	2.677	4.96e-81
FAM46B	ENSG00000158246.7	2.905	9.800	-1.468	8.67e-43
RNF207	ENSG00000158286.12	4.335	33.264	-2.683	2.96e-76
GPR153	ENSG00000158292.6	1.700	4.405	-1.001	1.34e-60
SLC13A3	ENSG00000158296.13	12.555	5.465	1.068	1.94e-36
HIST1H4H	ENSG00000158406.3	18.400	6.970	1.283	7.99e-24
NRG2	ENSG00000158458.19	0.785	3.875	-1.449	5.01e-88
SLC45A3	ENSG00000158715.5	651.535	268.391	1.276	1.06e-35
RNF166	ENSG00000158717.10	8.050	18.570	-1.113	3.41e-53
NBL1	ENSG00000158747.13	189.702	387.579	-1.027	7.96e-20
USF1	ENSG00000158773.14	27.199	59.239	-1.095	1.31e-64
ZNF276	ENSG00000158805.11	10.995	28.400	-1.293	1.83e-40
FGF17	ENSG00000158815.10	0.225	2.694	-1.593	9.37e-68
FAM160B2	ENSG00000158863.21	22.160	107.410	-2.227	3.38e-100
MPZ	ENSG00000158887.15	0.850	6.460	-2.012	6.60e-87
PAXBP1	ENSG00000159086.14	8.005	22.309	-1.372	9.31e-53
SV2A	ENSG00000159164.9	1.100	3.550	-1.116	5.55e-75
PRAC1	ENSG00000159182.4	509.432	113.893	2.151	6.76e-63
HOXB13	ENSG00000159184.7	209.491	81.159	1.357	6.98e-64
SIM2	ENSG00000159263.15	25.509	3.438	2.579	1.74e-77
HK2	ENSG00000159399.9	9.365	4.130	1.015	3.23e-20
STARD9	ENSG00000159433.11	0.640	5.770	-2.045	6.92e-116
ISL2	ENSG00000159556.9	0.320	1.795	-1.082	3.17e-78
SPON2	ENSG00000159674.11	555.059	131.415	2.070	2.12e-24
ZYX	ENSG00000159840.15	67.356	147.707	-1.121	2.00e-55
NPR2	ENSG00000159899.14	5.375	24.545	-2.003	8.56e-100
GNE	ENSG00000159921.14	19.560	8.210	1.159	1.83e-19
TFF3	ENSG00000160180.15	184.950	29.483	2.609	6.46e-34
FTCD	ENSG00000160282.13	0.990	3.657	-1.227	1.93e-39
S100B	ENSG00000160307.9	2.290	12.000	-1.982	5.78e-67
ZNF208	ENSG00000160321.14	0.520	2.340	-1.136	9.57e-56
PPAPDC3	ENSG00000160539.4	1.125	3.830	-1.185	4.55e-65
TLCD1	ENSG00000160606.10	28.546	7.803	1.747	1.19e-97
GBAP1	ENSG00000160766.14	1.850	5.013	-1.077	4.09e-59
NBEAL2	ENSG00000160796.16	16.395	42.690	-1.329	1.59e-29
PTH1R	ENSG00000160801.13	1.010	6.719	-1.941	1.15e-86
MYL3	ENSG00000160808.9	0.310	1.670	-1.027	8.74e-15
FGFR4	ENSG00000160867.14	1.160	3.565	-1.080	2.40e-47
ZNF333	ENSG00000160961.11	4.305	12.465	-1.344	6.14e-71
SCGB3A1	ENSG00000161055.3	2.705	14.491	-2.064	6.55e-30
U2AF1L4	ENSG00000161265.14	14.255	35.799	-1.270	9.21e-76
PLXDC1	ENSG00000161381.13	4.050	10.594	-1.199	4.17e-41
ITGA5	ENSG00000161638.10	22.810	132.964	-2.492	6.66e-75
MPP3	ENSG00000161647.18	2.445	12.385	-1.958	7.54e-82
PLCD3	ENSG00000161714.11	10.925	25.485	-1.151	4.09e-46
GRASP	ENSG00000161835.10	6.645	29.544	-1.998	6.05e-68
IP6K3	ENSG00000161896.10	0.480	3.825	-1.705	1.65e-74
WDR90	ENSG00000161996.17	14.595	38.769	-1.351	5.23e-21
NXF1	ENSG00000162231.13	60.260	126.930	-1.062	2.05e-37
TPCN2	ENSG00000162341.15	4.830	12.230	-1.182	4.44e-73
PPAP2B	ENSG00000162407.8	29.935	72.829	-1.255	4.23e-46
SLC25A34	ENSG00000162461.7	0.390	1.940	-1.081	2.13e-72
PDPN	ENSG00000162493.16	5.130	13.250	-1.217	9.51e-46
SCNN1D	ENSG00000162572.19	2.200	6.950	-1.313	1.36e-27
MXRA8	ENSG00000162576.16	35.385	88.824	-1.304	4.24e-39
MEGF6	ENSG00000162591.15	9.145	35.189	-1.835	8.80e-47
NEXN	ENSG00000162614.18	11.505	29.624	-1.292	4.49e-32
GBP2	ENSG00000162645.12	28.195	65.231	-1.182	1.47e-36
SNED1	ENSG00000162804.13	4.785	12.895	-1.264	4.89e-50
PKDCC	ENSG00000162878.12	11.825	33.675	-1.435	2.23e-33
OXER1	ENSG00000162881.6	0.925	4.185	-1.429	1.45e-81
HAAO	ENSG00000162882.14	5.500	17.674	-1.523	9.02e-57
PIGR	ENSG00000162896.5	13.450	5.425	1.169	2.85e-4
TRIM17	ENSG00000162931.11	0.420	2.425	-1.270	6.91e-65
SPATA18	ENSG00000163071.10	1.650	4.484	-1.049	2.65e-39
NOSTRIN	ENSG00000163072.14	8.245	21.579	-1.288	5.45e-39
PDLIM5	ENSG00000163110.14	229.778	56.310	2.010	3.81e-56
SPRR3	ENSG00000163209.14	0.000	1.545	-1.348	9.68e-70
S100A9	ENSG00000163220.10	10.455	38.010	-1.768	2.69e-30
TDRD10	ENSG00000163239.12	0.350	3.027	-1.577	5.06e-90
EOGT	ENSG00000163378.13	10.375	27.584	-1.329	3.21e-78
LMOD1	ENSG00000163431.12	41.648	127.680	-1.593	7.28e-43
STK36	ENSG00000163482.11	15.410	47.356	-1.559	2.38e-36
FEV	ENSG00000163497.2	17.765	3.950	1.923	2.91e-40
TGFBR2	ENSG00000163513.17	16.100	35.690	-1.101	2.15e-37
NFASC	ENSG00000163531.15	3.030	15.570	-2.040	4.88e-76
IFI16	ENSG00000163565.18	16.345	39.802	-1.234	1.08e-47
RPL22L1	ENSG00000163584.17	112.430	53.701	1.052	5.39e-50
ICA1L	ENSG00000163596.16	2.285	6.995	-1.283	1.72e-91
PRICKLE2	ENSG00000163637.11	1.865	6.310	-1.351	6.65e-71
SMIM14	ENSG00000163683.11	50.185	23.150	1.084	2.52e-28
IL17RE	ENSG00000163701.18	3.255	10.270	-1.405	1.03e-38
PCOLCE2	ENSG00000163710.7	7.135	23.695	-1.602	1.02e-29
TTC14	ENSG00000163728.10	15.550	36.200	-1.168	2.35e-38
TGM4	ENSG00000163810.11	2.655	9.650	-1.543	2.14e-6
ZC3H12A	ENSG00000163874.8	9.110	23.380	-1.270	7.88e-27
RPN1	ENSG00000163902.11	203.840	91.211	1.151	9.84e-65
S100P	ENSG00000163993.6	11.410	39.858	-1.719	2.42e-10
PLXNB1	ENSG00000164050.12	37.234	141.028	-1.893	3.85e-68
INTU	ENSG00000164066.12	1.930	6.440	-1.344	1.74e-67
MST1R	ENSG00000164078.12	0.940	3.795	-1.305	9.69e-54
HAND2	ENSG00000164107.8	0.190	1.610	-1.133	4.62e-65
STARD4	ENSG00000164211.12	3.285	9.924	-1.350	1.15e-46
F2RL1	ENSG00000164251.4	9.980	2.575	1.619	6.65e-34
SERINC5	ENSG00000164300.15	48.789	17.132	1.457	6.22e-39
LEAP2	ENSG00000164406.7	1.140	4.471	-1.354	6.57e-44
PI16	ENSG00000164530.13	2.045	15.370	-2.427	8.41e-36
FBXL21	ENSG00000164616.14	0.040	1.520	-1.277	2.73e-74
STEAP1	ENSG00000164647.8	149.483	46.571	1.661	1.13e-60
FABP5	ENSG00000164687.10	48.190	15.395	1.585	4.20e-20
SBSPON	ENSG00000164764.10	1.280	5.885	-1.594	1.05e-60
MICALL2	ENSG00000164877.18	22.785	51.529	-1.143	2.12e-19
OSR2	ENSG00000164920.9	14.545	33.045	-1.131	3.89e-51
GEM	ENSG00000164949.7	7.785	19.460	-1.220	4.23e-28
FAM219A	ENSG00000164970.14	6.445	14.240	-1.034	5.38e-45
MAMDC2	ENSG00000165072.9	1.250	5.335	-1.493	1.73e-67
FBP1	ENSG00000165140.9	85.748	21.606	1.940	2.74e-59
TMEM246	ENSG00000165152.8	2.225	5.455	-1.001	4.15e-37
HECTD2	ENSG00000165338.16	4.180	9.870	-1.069	4.37e-61
ZCCHC24	ENSG00000165424.6	10.750	25.134	-1.153	9.55e-64
PHYHIPL	ENSG00000165443.11	0.780	3.345	-1.287	2.73e-58
INPPL1	ENSG00000165458.13	48.090	120.012	-1.302	6.90e-42
VSTM4	ENSG00000165633.12	3.300	9.770	-1.325	2.36e-52
SLC18A2	ENSG00000165646.11	0.450	3.495	-1.632	6.95e-32
METTL17	ENSG00000165792.17	23.580	71.543	-1.561	2.52e-66
NDRG2	ENSG00000165795.20	62.376	212.268	-1.751	4.12e-86
NSMF	ENSG00000165802.19	20.559	48.770	-1.207	2.26e-43
ZNF219	ENSG00000165804.15	9.520	34.886	-1.770	3.80e-101
HSPA12A	ENSG00000165868.12	0.995	3.705	-1.238	9.06e-87
SLC39A13	ENSG00000165915.13	24.895	51.996	-1.033	2.39e-66
PDZRN4	ENSG00000165966.14	2.620	7.619	-1.252	5.00e-41
HACD1	ENSG00000165996.13	8.395	22.175	-1.303	2.06e-51
SMCO4	ENSG00000166002.6	142.236	63.201	1.158	1.44e-69
GABRB3	ENSG00000166206.13	8.545	1.440	1.968	3.33e-48
TMEM100	ENSG00000166292.11	1.870	6.673	-1.419	9.70e-47
MSS51	ENSG00000166343.9	0.420	2.460	-1.285	6.47e-81
TUB	ENSG00000166402.8	3.085	7.195	-1.004	1.45e-43
RIC3	ENSG00000166405.14	6.315	33.383	-2.233	1.35e-73
ZMAT1	ENSG00000166432.14	5.400	14.120	-1.240	6.08e-35
ST5	ENSG00000166444.17	21.475	72.687	-1.713	3.44e-90
MFAP4	ENSG00000166482.11	60.574	129.534	-1.084	1.49e-23
MAPK7	ENSG00000166484.19	6.850	16.225	-1.134	9.63e-79
NDST2	ENSG00000166507.16	11.225	24.140	-1.040	1.69e-44
RIMKLB	ENSG00000166532.15	8.435	34.150	-1.897	6.82e-88
TMED3	ENSG00000166557.12	234.013	112.364	1.052	2.68e-66
SEC11C	ENSG00000166562.8	445.088	218.758	1.021	2.04e-30
TMEM135	ENSG00000166575.16	16.455	6.350	1.248	2.18e-34
RRAD	ENSG00000166592.11	3.350	8.724	-1.160	2.03e-27
MMP10	ENSG00000166670.9	2.915	0.330	1.558	1.76e-27
TVP23A	ENSG00000166676.14	0.760	2.660	-1.056	2.08e-83
PPIB	ENSG00000166794.4	912.258	379.274	1.264	1.63e-90
KIAA0101	ENSG00000166803.10	6.605	2.225	1.238	3.76e-44
KIF7	ENSG00000166813.14	2.480	6.090	-1.027	8.83e-47
MESP1	ENSG00000166823.5	89.918	24.380	1.841	3.78e-35
SCNN1G	ENSG00000166828.2	1.885	6.140	-1.307	5.92e-21
RBPMS2	ENSG00000166831.8	7.850	19.245	-1.194	7.58e-55
NAV2	ENSG00000166833.19	1.305	6.055	-1.614	8.19e-89
GLYATL1	ENSG00000166840.13	51.388	4.610	3.223	2.84e-64
NAB2	ENSG00000166886.12	10.390	24.280	-1.150	3.31e-61
STAT6	ENSG00000166888.10	70.382	151.491	-1.095	1.52e-58
NYAP1	ENSG00000166924.8	0.310	1.700	-1.043	2.19e-108
SMAD3	ENSG00000166949.15	9.425	23.475	-1.231	5.92e-65
MS4A8	ENSG00000166959.7	10.620	1.570	2.177	4.22e-41
MAP1A	ENSG00000166963.12	1.525	4.350	-1.083	4.37e-51
EVA1C	ENSG00000166979.12	22.805	60.143	-1.361	1.06e-60
PDIA3	ENSG00000167004.12	729.998	249.837	1.543	3.79e-88
NKX3-1	ENSG00000167034.9	432.737	185.811	1.215	4.32e-51
SAMD14	ENSG00000167100.14	1.150	3.915	-1.193	9.53e-74
PIP5KL1	ENSG00000167103.11	0.770	2.735	-1.077	7.75e-78
PRRX2	ENSG00000167157.10	4.405	12.324	-1.302	1.47e-44
PRR15L	ENSG00000167183.2	48.724	20.260	1.226	2.83e-56
GPRC5B	ENSG00000167191.11	6.000	16.674	-1.336	4.28e-66
TBC1D2B	ENSG00000167202.11	7.965	19.684	-1.206	2.72e-70
IGF2	ENSG00000167244.17	3.455	8.318	-1.065	3.32e-24
RBFOX3	ENSG00000167281.18	3.995	18.405	-1.958	2.70e-54
ENTHD2	ENSG00000167302.9	10.330	38.825	-1.814	2.66e-68
OR51E2	ENSG00000167332.7	204.562	10.862	4.115	3.55e-48
PRRT2	ENSG00000167371.16	2.315	19.637	-2.638	1.36e-76
SGK494	ENSG00000167524.14	1.620	6.495	-1.516	3.14e-46
NCKAP5L	ENSG00000167566.16	3.550	14.610	-1.779	3.00e-96
NFKBID	ENSG00000167604.13	2.395	8.190	-1.437	1.56e-50
LENG8	ENSG00000167615.16	44.301	274.763	-2.606	3.51e-59
PPP1R14A	ENSG00000167641.10	22.099	86.252	-1.917	1.18e-59
